BBDD;ID_ANYO;EDAD;SEX;POLIZAS;EXPOSICION;SINIESTROS
Ahorro;2008;75;V;665;410,48907104;7
Ahorro;2008;76;M;640;427,70218579;10
Ahorro;2008;76;V;617;386,12841530;11
Ahorro;2008;77;M;576;370,51092896;6
Ahorro;2008;77;V;582;380,48087432;3
Ahorro;2008;78;M;572;384,50000000;4
Ahorro;2008;78;V;586;374,97267760;10
Ahorro;2008;79;M;561;373,53005464;6
Ahorro;2008;79;V;450;266,56284153;9
Ahorro;2008;80;M;466;299,89071038;3
Ahorro;2008;80;V;356;227,79508197;6
Ahorro;2008;81;M;404;267,35792350;4
Ahorro;2008;81;V;403;267,94535519;6
Ahorro;2008;82;M;391;254,53551913;3
Ahorro;2008;82;V;303;184,58196721;6
Ahorro;2008;83;M;426;259,25956284;8
Ahorro;2008;83;V;302;191,61748634;10
Ahorro;2008;84;M;321;200,85519126;7
Ahorro;2008;84;V;248;167,53825137;6
Ahorro;2008;85;M;285;186,68579235;5
Ahorro;2008;85;V;184;112,28142077;6
Ahorro;2008;86;M;252;166,13661202;5
Ahorro;2008;86;V;188;117,03825137;10
Ahorro;2008;87;M;187;125,76229508;5
Ahorro;2008;87;V;123;85,571038251;5
Ahorro;2008;88;M;169;117,11475410;3
Ahorro;2008;88;V;94;61,587431694;3
Ahorro;2008;89;M;113;76,898907104;8
Ahorro;2008;89;V;67;43,079234973;3
Ahorro;2008;90;M;98;69,601092896;0
Ahorro;2008;90;V;56;37,448087432;5
Ahorro;2008;91;M;66;45,647540984;3
Ahorro;2008;91;V;48;30,691256831;4
Ahorro;2008;92;M;47;33,103825137;3
Ahorro;2008;92;V;25;16,543715847;3
Ahorro;2008;93;M;31;23,887978142;0
Ahorro;2008;93;V;20;11,423497268;3
Ahorro;2008;94;M;23;19,732240437;2
Ahorro;2008;94;V;13;8,0519125683;1
Ahorro;2008;95;M;23;15,532786885;0
Ahorro;2008;95;V;6;5,6092896175;0
Ahorro;2008;96;M;12;5,9863387978;0
Ahorro;2008;96;V;6;3,9918032787;0
Ahorro;2008;97;M;15;11,655737705;1
Ahorro;2008;97;V;3;2,0601092896;0
Ahorro;2008;98;M;8;6,2513661202;1
Ahorro;2008;98;V;2;1,6174863388;0
Ahorro;2008;99;M;5;2,2431693989;2
Ahorro;2008;100;M;1;0,9808743169;1
Ahorro;2008;100;V;1;0,2896174863;0
Ahorro;2008;101;M;1;0,8278688525;0
Ahorro;2008;102;M;2;1,1748633880;0
Ahorro;2008;104;V;1;1,0000000000;0
Ahorro;2008;105;M;1;1,0000000000;0
Ahorro;2008;107;V;1;0,1420765027;0
Ahorro;2008;120;M;1;0,3278688525;0
Ahorro;2009;15;V;1;0,5287671233;0
Ahorro;2009;17;M;1;0,0246575342;0
Ahorro;2009;17;V;1;0,0602739726;0
Ahorro;2009;18;M;45;20,821917808;0
Ahorro;2009;18;V;42;18,457534247;0
Ahorro;2009;19;M;165;102,51232877;0
Ahorro;2009;19;V;155;105,44109589;0
Ahorro;2009;20;M;199;137,40273973;0
Ahorro;2009;20;V;221;155,72602740;0
Ahorro;2009;21;M;278;194,28493151;0
Ahorro;2009;21;V;306;224,85479452;0
Ahorro;2009;22;M;290;212,00547945;0
Ahorro;2009;22;V;348;257,30684932;0
Ahorro;2009;23;M;400;303,74520548;0
Ahorro;2009;23;V;422;305,84657534;0
Ahorro;2009;24;M;511;374,73150685;0
Ahorro;2009;24;V;493;376,92876712;0
Ahorro;2009;25;M;618;448,84109589;0
Ahorro;2009;25;V;585;430,89041096;0
Ahorro;2009;26;M;709;517,62191781;0
Ahorro;2009;26;V;700;524,60273973;0
Ahorro;2009;27;M;893;640,19726027;0
Ahorro;2009;27;V;762;577,95342466;0
Ahorro;2009;28;M;974;712,07945205;0
Ahorro;2009;28;V;944;709,59178082;0
Ahorro;2009;29;M;1068;804,65479452;0
Ahorro;2009;29;V;963;705,23013699;0
Ahorro;2009;30;M;1149;863,96712329;0
Ahorro;2009;30;V;1066;817,03835616;0
Ahorro;2009;31;M;1305;984,37534247;0
Ahorro;2009;31;V;1258;944,65205479;0
Ahorro;2009;32;M;1386;1075,4301370;0
Ahorro;2009;32;V;1482;1148,1835616;0
Ahorro;2009;33;M;1481;1160,6191781;0
Ahorro;2009;33;V;1483;1157,4301370;0
Ahorro;2009;34;M;1554;1219,8876712;0
Ahorro;2009;34;V;1625;1269,1643836;0
Ahorro;2009;35;M;1627;1295,9315068;0
Ahorro;2009;35;V;1739;1395,3452055;0
Ahorro;2009;36;M;1700;1337,9945205;0
Ahorro;2009;36;V;1748;1386,6958904;0
Ahorro;2009;37;M;1863;1468,7178082;0
Ahorro;2009;37;V;1985;1575,4054795;0
Ahorro;2009;38;M;1885;1496,8547945;0
Ahorro;2009;38;V;2045;1639,8328767;0
Ahorro;2009;39;M;2039;1602,3397260;0
Ahorro;2009;39;V;2225;1774,7643836;0
Ahorro;2009;40;M;2023;1621,8328767;1
Ahorro;2009;40;V;2267;1840,0684932;2
Ahorro;2009;41;M;2186;1781,6849315;0
Ahorro;2009;41;V;2348;1884,3890411;0
Ahorro;2009;42;M;2349;1910,6602740;0
Ahorro;2009;42;V;2434;1982,4821918;0
Ahorro;2009;43;M;2256;1829,4000000;0
Ahorro;2009;43;V;2387;1937,4520548;0
Ahorro;2009;44;M;2412;1981,6739726;0
Ahorro;2009;44;V;2592;2121,3342466;1
Ahorro;2009;45;M;2544;2052,1589041;0
Ahorro;2009;45;V;2749;2245,4328767;2
Ahorro;2009;46;M;2517;2025,9287671;0
Ahorro;2009;46;V;2845;2321,6794521;1
Ahorro;2009;47;M;2624;2120,2849315;1
Ahorro;2009;47;V;2823;2316,2849315;0
Ahorro;2009;48;M;2591;2103,8027397;0
Ahorro;2009;48;V;2784;2267,2465753;1
Ahorro;2009;49;M;2593;2105,4794521;5
Ahorro;2009;49;V;2953;2445,9095890;3
Ahorro;2009;50;M;2727;2241,2630137;3
Ahorro;2009;50;V;3016;2488,1890411;3
Ahorro;2009;51;M;2774;2244,0410959;0
Ahorro;2009;51;V;3097;2540,2794521;6
Ahorro;2009;52;M;2783;2268,5671233;3
Ahorro;2009;52;V;3216;2609,3260274;10
Ahorro;2009;53;M;2654;2156,5698630;1
Ahorro;2009;53;V;2944;2447,6602740;2
Ahorro;2009;54;M;2704;2197,8767123;6
Ahorro;2009;54;V;3135;2573,9534247;1
Ahorro;2009;55;M;2696;2190,3068493;3
Ahorro;2009;55;V;2852;2362,1671233;3
Ahorro;2009;56;M;2749;2201,2219178;2
Ahorro;2009;56;V;2965;2435,3917808;9
Ahorro;2009;57;M;2722;2192,7424658;3
Ahorro;2009;57;V;3153;2597,0547945;5
Ahorro;2009;58;M;2670;2155,0767123;1
Ahorro;2009;58;V;3166;2605,0712329;4
Ahorro;2009;59;M;2492;2024,8136986;4
Ahorro;2009;59;V;3184;2620,0630137;4
Ahorro;2009;60;M;2637;2120,3150685;4
Ahorro;2009;60;V;3251;2647,7972603;10
Ahorro;2009;61;M;2751;2210,8657534;1
Ahorro;2009;61;V;3459;2827,8739726;14
Ahorro;2009;62;M;2422;1926,5095890;10
Ahorro;2009;62;V;3043;2492,2602740;11
Ahorro;2009;63;M;2325;1852,2602740;1
Ahorro;2009;63;V;2944;2406,5424658;16
Ahorro;2009;64;M;2397;1921,8082192;3
Ahorro;2009;64;V;2964;2400,5232877;14
Ahorro;2009;65;M;2151;1613,6191781;0
Ahorro;2009;65;V;2611;2016,2054795;11
Ahorro;2009;66;M;1762;1287,6219178;5
Ahorro;2009;66;V;2109;1594,3041096;12
Ahorro;2009;67;M;1395;1050,4575342;3
Ahorro;2009;67;V;1789;1331,3452055;10
Ahorro;2009;68;M;1175;886,51506849;0
Ahorro;2009;68;V;1478;1118,3643836;10
Ahorro;2009;69;M;1499;1097,9068493;2
Ahorro;2009;69;V;1687;1258,9671233;20
Ahorro;2009;70;M;906;670,18904110;1
Ahorro;2009;70;V;1007;758,94794521;8
Ahorro;2009;71;M;1009;729,70958904;4
Ahorro;2009;71;V;1120;838,93972603;11
Ahorro;2009;72;M;1084;814,69315068;8
Ahorro;2009;72;V;1134;850,23287671;17
Ahorro;2009;73;M;1180;905,21095890;8
Ahorro;2009;73;V;1245;918,18356164;9
Ahorro;2009;74;M;1123;843,17260274;6
Ahorro;2009;74;V;1126;819,91506849;18
Ahorro;2009;75;M;1080;827,17808219;1
Ahorro;2009;75;V;1129;818,56712329;9
Ahorro;2009;76;M;994;759,30684932;8
Ahorro;2009;76;V;1031;781,82191781;9
Ahorro;2009;77;M;1099;819,47671233;2
Ahorro;2009;77;V;971;720,01643836;18
Ahorro;2009;78;M;924;705,12602740;9
Ahorro;2009;78;V;919;694,47671233;13
Ahorro;2009;79;M;975;738,19452055;11
Ahorro;2009;79;V;826;635,73972603;20
Ahorro;2009;80;M;851;654,89041096;7
Ahorro;2009;80;V;694;517,04657534;18
Ahorro;2009;81;M;706;537,12054795;14
Ahorro;2009;81;V;582;432,96164384;20
Ahorro;2009;82;M;620;471,95068493;11
Ahorro;2009;82;V;567;450,49041096;8
Ahorro;2009;83;M;601;463,63013699;14
Ahorro;2009;83;V;424;312,06301370;12
Ahorro;2009;84;M;598;458,87397260;12
Ahorro;2009;84;V;420;332,08767123;14
Ahorro;2009;85;M;486;348,81095890;10
Ahorro;2009;85;V;374;271,73698630;20
Ahorro;2009;86;M;394;301,18356164;14
Ahorro;2009;86;V;269;196,48493151;17
Ahorro;2009;87;M;389;282,96986301;30
Ahorro;2009;87;V;256;187,32054795;16
Ahorro;2009;88;M;282;209,18904110;10
Ahorro;2009;88;V;195;143,56986301;8
Ahorro;2009;89;M;224;174,07397260;12
Ahorro;2009;89;V;135;101,09863014;6
Ahorro;2009;90;M;141;110,24657534;9
Ahorro;2009;90;V;101;74,693150685;7
Ahorro;2009;91;M;137;111,32602740;6
Ahorro;2009;91;V;75;45,323287671;18
Ahorro;2009;92;M;93;68,389041096;6
Ahorro;2009;92;V;62;43,032876712;11
Ahorro;2009;93;M;55;41,232876712;6
